Amasya,Gümüşhacıköy Açık Ceza İnfaz Kurumu,0358 717 60 66 - 0358 717 60 68,,gumushacikoy.acik@adalet.gov.tr,Saray Mahallesi Cezaevi Caddesi No:6 Gümüşhacıköy/AMASYA,0358 717 60 67,https://gumushacikoyacik.adalet.gov.tr/
Ankara,Ankara Açık Ceza İnfaz Kurumu,0312 278 7610 -,0535 107 12 66,ankara.acik@adalet.gov.tr,Ergazi Mah. Fatih Sultan Mehmet Bulvarı No: 448 Şaşmaz Yenimahalle/ANKARA,0312 278 2568,https://ankaraacik.adalet.gov.tr
Ankara,Ankara Batı Denetimli Serbestlik Müdürlüğü,0312 243 0001 - 0507 820 0199,,dsm.sincan@adalet.gov.tr,İstasyon Mahallesi Türk Kızılayı Caddesi No:27 Etimesgut/ANKARA,0312 243 0008,
Ankara,Ankara Çocuk Eğitimevi,0312 254 0371 -,0506 600 6182,ankara.cegt@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ANKARA,0312 254 0373,https://ankarace.adalet.gov.tr
Ankara,Ankara Denetimli Serbestlik Müdürlüğü,0312 230 6054 -,0507 820 0006,dsm.ankara@adalet.gov.tr,"Şefkat Mahallesi, Dr.Besim Ömer Caddesi, No:61 Keçiören/ANKARA",0312 230 6073,
Ankara,Ayaş Açık Ceza İnfaz Kurumu,0312 339 3330 - 0312 339 6444,0506 600 6333,cte.ankara_egtmrk@adalet.gov.tr,Ahlatlıbel Mah. 1859.Cad. No:42 Çankaya/ANKARA,0312 339 8866,https://cte-aem.adalet.gov.tr/
Ankara,Elmadağ Kadın Açık Ceza İnfaz Kurumu,0312 863 1840 -,,elmadag.kad.acik@adalet.gov.tr,Kurtuluş Mah. Gürbüz Sok. No:4 Elmadağ/ANKARA,0312 863 4025,https://elmadagkacik.adalet.gov.tr/
Ankara,Kalecik Açık Ceza İnfaz Kurumu,0312 857 0291 -,0506 600 6306,kalecik.acik@adalet.gov.tr,Halitcevri Arslangil Mah. Seyit Balcı Sokak No.82 06870 Kalecik/ANKARA,0312 857 0297,https://kalecikacik.adalet.gov.tr/
Ankara,Kızılcahamam Açık Ceza İnfaz Kurumu,0312 736 7233 -,,,Karşıyaka Mah. Hüseyin Kızılırmak sok. Küçük Sanayi Sitesi bolgesi no:2 Kızılcahamam/ANKARA,0312 736 7234,https://kizilcahamamcik.adalet.gov.tr/
Ankara,Kızılcahamam Kapalı Ceza İnfaz Kurumu,0312 736 7233 -,,abbkizilcahamamkczv@adalet.gov.tr,Karşıyaka Mah. Kızılcahamam Sanayi Sitesi Cad. Şehit Fikret Tetik Sok. No:2 Kızılcahamam /Ankara,0312 736 7234,https://kizilcahamamcik.adalet.gov.tr
Ankara,Polatlı Denetimli Serbestlik Müdürlüğü,-,,,,,
Ankara,Sincan 1 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0312 254 0103 - 0312 254 0104,,ankara.1nftcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Ceza İnfaz Kurumları Kampüsü Yenikent - Sincan/ ANKARA,0312 254 0110,https://ankaraf1.adalet.gov.tr
Ankara,Sincan 1 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,0312 589 5074 -,0506 600 6213,ankara.1nltcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ ANKARA,0312 254 0051,https://ankara1lcik.adalet.gov.tr
Ankara,Sincan 1 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0312 254 0010 -,,,Adalet Mahallesi Adalet Küme Evleri No:92/1 Yenikent-Sincan/ANKARA,0312 254 0012,https://sincan1cik.adalet.gov.tr/
Ankara,Sincan 2 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0312 254 0202 -,,ankara.2nftcik@adalet.gov.tr,Adalet Mah. Adalet Sk. No:80/D Yenikent - Sincan/ ANKARA,0312 254 0211,https://ankaraf2.adalet.gov.tr
Ankara,Sincan 2 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,0312 589 5076 -,0506 600 6244,ankara.2nltcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ ANKARA,0312 254 0014,https://ankara2lcik.adalet.gov.tr
Ankara,Sincan 2 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0312 254 0077 -,,sincan2nygkcik@adalet.gov.tr,Adalet Mahallesi Adalet Küme Evleri No:92/2 Yenikent-Sincan/ANKARA,0312 254 0075,https://sincan2cik.adalet.gov.tr/
Ankara,Sincan 3 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,0312 254 00 61 - 0312 254 0063,,sincan3nltcik@adalet.gov.tr,Adalet Mahallesi Adalet Caddesi Sincan Ceza İnfaz Kurumları Kampüsü 06946 Yenikent/Sincan/Ankara,0312 254 0062,https://sincan3lcik.adalet.gov.tr/
Ankara,Sincan 4 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,0312 254 0043 - 0312 254 0047,,sincan4nltkcik@adalet.gov.tr,Adalet Mah. Adalet Sok. No: 80/A Yenikent-Sincan/ANKARA,0312 254 0335,https://sincan4lcik.adalet.gov.tr/
Ankara,Sincan Açık Ceza İnfaz Kurumu,0312 589 5001 -,0506 6006106,sincan.acik@adalet.gov.tr,Adalet Mah. Adalet Sok. No: 80/A Sincan Açık CİK Yenikent 06946/ANKARA,0312 254 0008,https://sincanacik.adalet.gov.tr
Ankara,Sincan Çocuk ve Gençlik Kapalı Ceza İnfaz Kurumu,0312 589 5133 -,0506 600 6218,ankara.cgkcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ ANKARA,0312 254 0029,https://sincancocukcik.adalet.gov.tr
Ankara,Sincan Kadın Kapalı Ceza İnfaz Kurumu,0312 589 5101 - 0312 254 00 40,0506 600 6275,ankara.kadkcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ ANKARA,0312 254 0048,https://ankarakkcik.adalet.gov.tr
Ankara,Sincan T Tipi Kapalı Ceza İnfaz Kurumu,0312 254 0080 - 0312 254 0081,,sincan.ttcik@adalet.gov.tr,Adalet Mah. Adalet Sk. Sincan Kampüs Yenikent - Sincan/ ANKARA,0312 254 0084,https://sincantcik.adalet.gov.tr
Antalya,Akseki Açık Ceza İnfaz Kurumu Müdürlüğü (T Tipi),-,,,,,
Antalya,Akseki T Tipi Kapalı Ceza İnfaz Kurumu Müdürlüğü,-,,,,,
Antalya,Alanya Açık Ceza İnfaz Kurumu (L Tipi),0242 528 7573 - 0242 528 7574,0506 600 6207,alanya.ltcik@adalet.gov.tr,Mahmutlar Mh. Küçük Ahmetler Sk. No:17 Alanya/ANTALYA,0242 528 7575,https://alanyalcik.adalet.gov.tr/
Antalya,Alanya Denetimli Serbestlik Müdürlüğü,0 242 513 15 12 - 0 242 511 99 77,,dsm.alanya@adalet.gov.tr,Tosmur Mahallesi 6. Sokak No:7 Alanya/ANTALYA,0 242 511 07 26,https://alanya.adalet.gov.tr
Antalya,Alanya L Tipi Kapalı Ceza İnfaz Kurumu,0242 528 7573 - 0242 528 7574,0506 600 6207,alanya.ltcik@adalet.gov.tr,Mahmutlar Mh. Küçük Ahmetler Sk. No:17 Alanya/ANTALYA,0242 528 7575,https://alanyalcik.adalet.gov.tr/
Antalya,Antalya Açık Ceza İnfaz Kurumu,0242 423 1216 - 0242 423 1266,,antalya.acik@adalet.gov.tr,Kömürcüler Mahallesi 2708 Sokak No:6 Döşemealtı/ANTALYA,0242 423 1052,https://antalyaacik.adalet.gov.tr/
Antalya,Antalya Açık Ceza İnfaz Kurumu (E Tipi),0242 221 2323 - 0242 221 0991,0506 600 6107,antalya.etcik@adalet. gov.tr,Kepez Mah. 3230 Sokak NO:69-71 Kepez/ ANTALYA,0242 221 5332,https://antalyaecik.adalet.gov.tr/
Antalya,Antalya Denetimli Serbestlik Müdürlüğü,0242 237 9560 - 0507 820 0007,,dsm.antalya@adalet.gov.tr,"Meltem Mah. Dumlupınar Bulvarı, Eski Adliye Hizmet Binası Muratpaşa/ ANTALYA",0242 237 9437,https://antalya.adalet.gov.tr/ds/default.html
Antalya,Antalya E Tipi Kapalı Ceza İnfaz Kurumu,0242 221 2323 - 0242 221 0991,0506 600 6107,antalya.etcik@adalet. gov.tr,Kepez Mah. 3230 Sokak NO:69-71 Kepez/ ANTALYA,0242 221 5333,https://antalyaecik.adalet.gov.tr/
Antalya,Antalya L Tipi Kapalı Ceza İnfaz Kurumu,0242 423 1360 - 0242 423 1361,0506 600 63 07,abbantalya.ltcik@adalet.gov.tr,Kömürcüler Mahallesi 2711 No:6 Döşemealtı/ANTALYA,0242 423 1344,https://antalyalcik.adalet.gov.tr/
Antalya,Antalya S Tipi Kapalı Ceza İnfaz Kurumu,0242 423 1062 - 0242 423 1142,,antalya.stkcik@adalet.gov.tr,Kömürcüler Mahallesi 2711 No:6 Döşemealtı/ANTALYA,0242 423 1273,https://antalyascik.adalet.gov.tr/
Antalya,Antalya Y Tipi Kapalı Ceza İnfaz Kurumu,0242 423 1286 - 0242 423 1371,,antalya.ytkcik@adalet.gov.tr,Kömürcüler Mahallesi 2708 Sokak No:6/11  Antalya Ceza İnfaz Kurumları Kampüsü Döşemealtı ANTALYA,0242 423 1296,https://antalyaycik.adalet.gov.tr/
Antalya,Antalya Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0242 423 1335 - 0242 423 1351,,antalya.1ygkcik@adalet.gov.tr,Kömürcüler Mah. 2708 Sk. No: 6/10 Döşemealtı / ANTALYA,0242 423 1012,https://antalya1cik.adalet.gov.tr/
Antalya,Elmalı Açık Ceza İnfaz Kurumu (T Tipi),0242 626 2123 -,0535 107 1295,elmalitcik@adalet.gov.tr,Bozhüyük Mahallesi Bozhüyük Küme Evleri No:306 Elmalı/Antalya,0242 626 2124,https://elmalitcik.adalet.gov.tr
Antalya,Elmalı Denetimli Serbestlik Müdürlüğü,0242 618 6068 - 0507 820 0087,,dsm.elmali@adalet.gov.tr,Gündoğan Mahallesi Adliye Lojmanları Karşısı Adliye 1 Sokak Ergül Apartmanı Büro Katı Elmalı-Antalya,0242 618 3438,https://elmali.adalet.gov.tr/menu/elmdnt/elmdnt.html
Antalya,Elmalı T Tipi Kapalı Ceza İnfaz Kurumu,0242 626 2120 - 0242 626 2121,0506 600 6337,elmalitcik@adalet.gov.tr,Bozhüyük Mahallesi Bozhüyük Küme Evleri No:306 Elmalı/Antalya,0242 626 2122,https://elmalitcik.adalet.gov.tr
Antalya,Kumluca K1 Tipi Kapalı Ceza İnfaz Kurumu,0242 887 2173 -,0 535 107 1296,kumluca.k1tcik@adalet.gov.tr,CUMHURİYET MAH. HİLAL SK. NO:139 KUMLUCA / ANTALYA,0242 887 2173,
Antalya,Manavgat Açık Ceza İnfaz Kurumu (S Tipi),0242 747 6362 - 0242 747 6367,,,Ilıca Mahallesi Manavgat/Antalya,0242 747 6965,https://manavgatscik.adalet.gov.tr/
Antalya,Manavgat Denetimli Serbestlik Müdürlüğü,0242 743 3804 - 0507 820 0097,,dsm.manavgat@adalet.gov.tr,Bahçelievler Mah. 5011 Sok. No: 28 (Adliye Doğu Kapısı Karşı Sokağı) Manavgat/ANTALYA,0242 743 3806,https://manavgat.adalet.gov.tr/denetimli-serbestlik
Antalya,Manavgat S Tipi Kapalı Ceza İnfaz Kurumu,0242 747 6362 - 0242 747 6367,,,Ilıca Mahallesi Manavgat/Antalya,0242 747 6965,https://manavgatscik.adalet.gov.tr/
Artvin,Ardanuç Açık Ceza İnfaz Kurumu,0466 611 3600 -,,ardanuc.acik@adalet.gov.tr,Merkez Mahallesi Gevherlik Sokak No:13 Ardanuç/ARTVİN,0466 611 3602,https://ardanucacik.adalet.gov.tr
Artvin,Artvin Denetimli Serbestlik Müdürlüğü,0466 212 1095 - 0507 820 0008,,dsm.artvin@adalet.gov.tr,Miralay Şükrü Bey Cad.No:25/ARTVİN,0466 212 2685,https://artvin.adalet.gov.tr/personel-denetim.html
Artvin,Artvin Kapalı Ceza İnfaz Kurumu,0466 212 1080 -,0506 600 6108,artvinkczv@adalet.gov.tr,Çayağzı Mah. Miralay Şükrübey Cad. No:166 ARTVİN,0466 212 10 89,https://artvincik.adalet.gov.tr/
Aydın,Aydın Açık Ceza İnfaz Kurumu,0256 227 0038 -,,aydin.acik@adalet.gov.tr,Osman Yozgatlı Mah. Atatürk Bul. No:158/12 Efeler/AYDIN,0256 226 1713,https://aydinacik.adalet.gov.tr/
Aydın,Aydın Denetimli Serbestlik Müdürlüğü,0 256 213 67 58 - 0 256 213 67 57,0507 820 00 09,dsm.aydin@adalet.gov.tr,Güzelhisar Mah.  73. Sk. No:15/A  Efeler / AYDIN,0 256 212 71 29,https://aydin.adalet.gov.tr
Aydın,Aydın E Tipi Kapalı Ceza İnfaz Kurumu,0256 226 1774 - 0256 226 1792,0506 600 6109,aydin.etcik@adalet.gov.tr,Osman Yozgatlı Mah. Atatürk Bul. No:180 Efeler/AYDIN,0256 226 1772,https://aydinecik.adalet.gov.tr/
Aydın,Çine A3 Tipi Kapalı Ceza İnfaz Kurumu,0256 711 6957 -,,cine.a3tcik@adalet.gov.tr,Şevketiye Mahallesi Atatürk Cd. No:1 Çine /AYDIN,0256 711 5939,
Aydın,Nazilli Açık Ceza İnfaz Kurumu (E Tipi),0256 318 0026 -,,nazilli.acik@adalet.gov.tr,Yıldıztepe mah.15 sk. No:99 NAZİLLİ / AYDIN,0256 318 0092,https://nazillicik.adalet.gov.tr/
Aydın,Nazilli Denetimli Serbestlik Müdürlüğü,0256 314 0036 - 0507 820 0109,,dsm.nazilli@adalet.gov.tr,Yeşilyurt Mahallesi Doğu Denizli Bulvarı No:105/A NAZİLLİ/AYDIN,0256 315 7308,https://nazilli.adalet.gov.tr/dsym/?sI=sayfaGoster&sId=36
Aydın,Nazilli E Tipi Kapalı Ceza İnfaz Kurumu,0256 318 0022 -,0506 600 6209,abbnazillietcik@adalet.gov.tr,Yıldıztepe mah.15 sk. No:99 NAZİLLİ / AYDIN,0256 318 0027,https://nazillicik.adalet.gov.tr/
Aydın,Söke Açık Ceza İnfaz Kurumu (T Tipi),0256 547 1369 - 0256 547 1328,0507 760 7218,sokeacik@adalet.gov.tr,Yuvaca Mah. 4468 Sokak. No:2 Söke/AYDIN,0256 547 1733,https://sokeacik.adalet.gov.tr/
Aydın,Söke Denetimli Serbestlik Müdürlüğü,0256 518 7978 - 0507 820 0089,,dsm.soke@adalet.gov.tr,"Kemalpaşa mahallesi, Futbol Sokak. No : 46  SÖKE/AYDIN",0 256 518 46 90,https://soke.adalet.gov.tr/ds.html
Aydın,Söke T Tipi Kapalı Ceza İnfaz Kurumu,0256 547 1328 - 0256 547 1115,0507 760 7218,soketcik@adalet.gov.tr,Yuvaca Mah. 4468 Sokak. No:2 Söke/AYDIN,0256 547 1733,https://soketcik.adalet.gov.tr/
Balıkesir,Ayvalık Kadın Açık Ceza İnfaz Kurumu,0266 338 1110 -,0533 086 5032,ayvalik.kadacik@adalet.gov.tr,Altınova mahallesi Fuat Güngör Caddesi No:1 Ayvalık/BALIKESİR,0266 338 1188,https://ayvalikkcik.adalet.gov.tr/
Balıkesir,Balıkesir Açık Ceza İnfaz Kurumu,0266 221 0050 -,0506 600 6110,balikesiracik@adalet.gov.tr,Sütlüce Mahallesi Soma Caddesi No:52/5 Altıeylül/BALIKESİR,0266 221 0052,https://balikesiracik.adalet.gov.tr/
Balıkesir,Balıkesir Denetimli Serbestlik Müdürlüğü,0266 249 2905 - 0535 107 1279,,dsm.balikesir@adalet.gov.tr,Bahçelievler Mh. 132. Cd. Toprak Sk. No:3 Altıeylül/BALIKESİR,0266 249 2209,
Balıkesir,Balıkesir L Tipi Kapalı Ceza İnfaz Kurumu,0266 576 2000 -,0507 760 7206,balikesir.ltcik@adalet.gov.tr,CAMİ CEDİD MAH.PİRİNÇLİK MEVKİ NO: 8 Kepsut/BALIKESİR,0266 576 1515,https://balikesirlcik.adalet.gov.tr/
Balıkesir,Bandırma 1 Nolu T Tipi Kapalı Ceza İnfaz Kurumu,0266 733 8461 - 0266 733 8462,0507 456 0883,abbbandirma.1ttcik@adalet.gov.tr,Banvit Arkası Ömerli Köyü Yolu üzeri Bandırma/BALIKESİR,0266 733 8467,https://bandirma1tcik.adalet.gov.tr
Balıkesir,Bandırma 2 Nolu T Tipi Kapalı Ceza İnfaz Kurumu,0266 733 8632 - 0266 733 8634,0507 456 0887,bandirma.2ttcik@adalet.gov.tr,Banvit Arkası Ömerli Köyü Yolu üzeri Bandırma/BALIKESİR,0266 733 8628,https://bandirma2tcik.adalet.gov.tr
Balıkesir,Bandırma Açık Ceza İnfaz Kurumu,0266 733 8603 - 0266 733 8605,0507 456 0889,bandirma.acik@adalet.gov.tr,Ömerli Mahallesi Ömerli Sokak No:12/16 Bandırma/BALIKESİR,0266 733 8602,https://bandirmaacik.adalet.gov.tr
Balıkesir,Bandırma Denetimli Serbestlik Müdürlüğü,0 266 721 1166 - 0507 820 0110,,dsm.bandirma@adalet.gov.tr,600 Evler Mahallesi Nato Caddesi. No:28 Bandırma/BALIKESİR,0 266 721 1125,https://bandirma.adalet.gov.tr
Balıkesir,Bandırma M Tipi Kapalı Ceza İnfaz Kurumu,0266 733 8370 - 0266 733 8372,0506 600 6210,bandirma.mt@adalet.gov.tr,Banvit Arkası Ömerli Mahallesi Ömerli Sokak NO:12/16 Bandırma/BALIKESİR,0266 733 8397,https://bandirmamtipicik.adalet.gov.tr/
Balıkesir,Burhaniye Açık Ceza İnfaz Kurumu (T Tipi),0266 412 7549 -,0506 600 6236,burhaniye.ctcik@adalet.gov.tr,Börezli Mahallesi Burhaniye/BALIKESİR,0266 421 8189,https://burhaniyettkacik.adalet.gov.tr/
Balıkesir,Burhaniye Denetimli Serbestlik Müdürlüğü,0266 412 6051 - 0 266 412 60 52,0507 820 0090,dsm.burhaniye@adalet.gov.tr,Mahkeme Mah. Saip hoca Bulvarı no:17 Burhaniye / Balıkesir,0266 412 6016,
Balıkesir,Burhaniye T Tipi Kapalı Ceza İnfaz Kurumu,0266 412 7549 -,0506 600 6236,abbburhaniye.ttcik@adalet.gov.tr,Börezli Mahallesi Burhaniye/BALIKESİR,0266 421 8188,https://burhaniyettkacik.adalet.gov.tr/
