İl,İlçe,Kurum Adı,Vergi No,Vergi Dairesi,Hesap Türü,Banka Adı,IBAN
Adana,Adana,Adana Banka Alacakları İcra Dairesi,71302859,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR370001500158007312991751
Adana,Adana,Adana Banka Alacakları İcra Dairesi,71302859,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR100001500158007312991558
Adana,Adana,Adana Banka Alacakları İcra Dairesi,71302859,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR150001500158007312991662
Adana,Adana,Adana Abonelik Sözleşmeleri İcra Dairesi,71302841,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR530001500158007312991269
Adana,Adana,Adana Abonelik Sözleşmeleri İcra Dairesi,71302841,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR330001500158007312991144
Adana,Adana,Adana Abonelik Sözleşmeleri İcra Dairesi,71302841,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR950001500158007312991483
Adana,Karaisalı,Karaisalı İcra Dairesi,5130072036,KARAİSALI MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR150001500158007300758119
Adana,Karaisalı,Karaisalı İcra Dairesi,5130072036,KARAİSALI MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR520001500158007300758132
Adana,Karaisalı,Karaisalı İcra Dairesi,5130072036,KARAİSALI MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR680001500158007300758135
Adana,Karataş,Karataş İcra Dairesi,5220065566,KARATAŞ VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR980001500158007300696000
Adana,Karataş,Karataş İcra Dairesi,5220065566,KARATAŞ VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR360001500158007300695952
Adana,Karataş,Karataş İcra Dairesi,5220065566,KARATAŞ VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR800001500158007300696033
Adana,Ceyhan,Ceyhan İcra Dairesi,2070050084,CEYHAN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR840001500158007290494374
Adana,Ceyhan,Ceyhan İcra Dairesi,2070050084,CEYHAN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR170001500158007299429086
Adana,Ceyhan,Ceyhan İcra Dairesi,2070050084,CEYHAN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR350001500158007300574041
Adana,Yumurtalık,Yumurtalık İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR780001500158007300688018
Adana,Yumurtalık,Yumurtalık İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR400001500158007300688023
Adana,Yumurtalık,Yumurtalık İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR640001500158007300687979
Adana,Kozan,Kozan İcra Dairesi,70069483,KOZAN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR660001500158007299379219
Adana,Kozan,Kozan İcra Dairesi,70069483,KOZAN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR950001500158007290495922
Adana,Kozan,Kozan İcra Dairesi,70069483,KOZAN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR270001500158007300569238
Adana,Aladağ,Aladağ İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR890001500158007300598871
Adana,Aladağ,Aladağ İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR690001500158007300598940
Adana,Aladağ,Aladağ İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR430001500158007300598923
Adana,İmamoğlu,İmamoğlu İcra Dairesi,4740130372,İMAMOĞLU MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR670001500158007300577345
Adana,İmamoğlu,İmamoğlu İcra Dairesi,4740130372,İMAMOĞLU MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR470001500158007300577317
Adana,İmamoğlu,İmamoğlu İcra Dairesi,4740130372,İMAMOĞLU MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR330001500158007300577278
Adana,Tufanbeyli,Tufanbeyli İcra Dairesi,4690058760,TUFANBEYLİ MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR330001500158007300593186
Adana,Tufanbeyli,Tufanbeyli İcra Dairesi,4690058760,TUFANBEYLİ MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR680001500158007300593235
Adana,Tufanbeyli,Tufanbeyli İcra Dairesi,4690058760,TUFANBEYLİ MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR260001500158007300593215
Adıyaman,Adıyaman,Adıyaman İcra Dairesi,4690034624,ADIYAMAN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR970001500158007299436376
Adıyaman,Adıyaman,Adıyaman İcra Dairesi,4690034624,ADIYAMAN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR280001500158007290494315
Adıyaman,Adıyaman,Adıyaman İcra Dairesi,4690034624,ADIYAMAN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR920001500158007300560890
Adıyaman,Besni,Besni İcra Dairesi,1660200457,BESNİ MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR170001500158007300753524
Adıyaman,Besni,Besni İcra Dairesi,1660200457,BESNİ MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR820001500158007300753518
Adıyaman,Besni,Besni İcra Dairesi,1660200457,BESNİ MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR400001500158007300753498
Adıyaman,Gerger,Gerger İcra Dairesi,3940441597,GERGER MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR370001500158007300800791
Adıyaman,Gerger,Gerger İcra Dairesi,3940441597,GERGER MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR250001500158007300800716
Adıyaman,Gerger,Gerger İcra Dairesi,3940441597,GERGER MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR410001500158007300800816
Adıyaman,Gölbaşı(Adıyaman),Gölbaşı(Adıyaman) İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR960001500158007300613101
Adıyaman,Gölbaşı(Adıyaman),Gölbaşı(Adıyaman) İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR700001500158007300613084
Adıyaman,Gölbaşı(Adıyaman),Gölbaşı(Adıyaman) İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR300001500158007300613125
Adıyaman,Kahta,Kahta İcra Dairesi,4880577851,Kahta Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR890001500158007300587716
Adıyaman,Kahta,Kahta İcra Dairesi,4880577851,Kahta Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR120001500158007300587744
Adıyaman,Kahta,Kahta İcra Dairesi,4880577851,Kahta Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR650001500158007300587760
Afyonkarahisar,Afyonkarahisar,Afyonkarahisar İcra Dairesi,80805946,TINAZTEPE VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR630001500158007301375436
Afyonkarahisar,Afyonkarahisar,Afyonkarahisar İcra Dairesi,80805946,TINAZTEPE VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR240001500158007301375459
Afyonkarahisar,Afyonkarahisar,Afyonkarahisar İcra Dairesi,80805946,TINAZTEPE VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR770001500158007301375475
Afyonkarahisar,İscehisar,İscehisar İcra Dairesi,4800172606,İSCEHİSAR MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR900001500158007300589153
Afyonkarahisar,İscehisar,İscehisar İcra Dairesi,4800172606,İSCEHİSAR MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR650001500158007300589118
Afyonkarahisar,İscehisar,İscehisar İcra Dairesi,4800172606,İSCEHİSAR MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR100001500158007300589138
Afyonkarahisar,Sinanpaşa,Sinanpaşa İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR930001500158007300573288
Afyonkarahisar,Sinanpaşa,Sinanpaşa İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR600001500158007300573300
Afyonkarahisar,Sinanpaşa,Sinanpaşa İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR710001500158007300573296
Afyonkarahisar,Şuhut,Şuhut İcra Dairesi,8150343996,Şuhut Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR790001500158007300578875
Afyonkarahisar,Şuhut,Şuhut İcra Dairesi,8150343996,Şuhut Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR970001500158007300579036
Afyonkarahisar,Şuhut,Şuhut İcra Dairesi,8150343996,Şuhut Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR690001500158007300579055
Afyonkarahisar,Sandıklı,Sandıklı İcra Dairesi,7430047012,Sandıklı Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR950001500158007290537244
Afyonkarahisar,Sandıklı,Sandıklı İcra Dairesi,7430047012,Sandıklı Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR210001500158007300571480
Afyonkarahisar,Sandıklı,Sandıklı İcra Dairesi,7430047012,Sandıklı Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR280001500158007300571451
Afyonkarahisar,Bolvadin,Bolvadin İcra Dairesi,1790058673,BOLVADİN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR110001500158007300568944
Afyonkarahisar,Bolvadin,Bolvadin İcra Dairesi,1790058673,BOLVADİN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR420001500158007290492317
Afyonkarahisar,Bolvadin,Bolvadin İcra Dairesi,1790058673,BOLVADİN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR750001500158007300568859
Afyonkarahisar,Çay,Çay İcra Dairesi,2320075209,ÇAY MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR020001500158007300570464
Afyonkarahisar,Çay,Çay İcra Dairesi,2320075209,ÇAY MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR720001500158007300570562
Afyonkarahisar,Çay,Çay İcra Dairesi,2320075209,ÇAY MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR460001500158007300570545
Afyonkarahisar,Emirdağ,Emirdağ İcra Dairesi,3340012930,EMİRDAĞ VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR760001500158007299584291
Afyonkarahisar,Emirdağ,Emirdağ İcra Dairesi,3340012930,EMİRDAĞ VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR210001500158007290494344
Afyonkarahisar,Emirdağ,Emirdağ İcra Dairesi,3340012930,EMİRDAĞ VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR130001500158007300576862
Afyonkarahisar,Dinar,Dinar İcra Dairesi,70068136,DİNAR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR910001500158007290495509
Afyonkarahisar,Dinar,Dinar İcra Dairesi,70068136,DİNAR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR090001500158007290495530
Afyonkarahisar,Dinar,Dinar İcra Dairesi,70068136,DİNAR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR070001500158007299328774
Afyonkarahisar,Dazkırı,Dazkırı İcra Dairesi,2710076501,DAZKIRI MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR680001500158007300585669
Afyonkarahisar,Dazkırı,Dazkırı İcra Dairesi,2710076501,DAZKIRI MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR230001500158007300585606
Afyonkarahisar,Dazkırı,Dazkırı İcra Dairesi,2710076501,DAZKIRI MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR490001500158007300585623
Ağrı,Ağrı,Ağrı İcra Dairesi,100047955,AĞRI VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR630001500158007290491939
Ağrı,Ağrı,Ağrı İcra Dairesi,100047955,AĞRI VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR680001500158007297845225
Ağrı,Ağrı,Ağrı İcra Dairesi,100047955,AĞRI VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR480001500158007288360731
Ağrı,Eleşkirt,Eleşkirt İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR560001500158007300600338
Ağrı,Eleşkirt,Eleşkirt İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR650001500158007300600370
Ağrı,Eleşkirt,Eleşkirt İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR330001500158007300600364
Ağrı,Taşlıçay,Taşlıçay İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR540001500158007300612693
Ağrı,Taşlıçay,Taşlıçay İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR580001500158007300612718
Ağrı,Taşlıçay,Taşlıçay İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR390001500158007300612672
Ağrı,Doğubayazıt,Doğubayazıt İcra Dairesi,4690034456,DOĞUBEYAZIT VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR790001500158007300569660
Ağrı,Doğubayazıt,Doğubayazıt İcra Dairesi,4690034456,DOĞUBEYAZIT VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR560001500158007300569977
Ağrı,Doğubayazıt,Doğubayazıt İcra Dairesi,4690034456,DOĞUBEYAZIT VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR040001500158007300569943
Ağrı,Diyadin,Diyadin İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR080001500158007300625549
Ağrı,Diyadin,Diyadin İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR290001500158007300625462
Ağrı,Diyadin,Diyadin İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR920001500158007300625492
Ağrı,Patnos,Patnos İcra Dairesi,7230258640,PATNOS MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR630001500158007300573343
Ağrı,Patnos,Patnos İcra Dairesi,7230258640,PATNOS MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR040001500158007300573338
Ağrı,Patnos,Patnos İcra Dairesi,7230258640,PATNOS MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR200001500158007300573341
Ağrı,Malazgirt,Malazgirt İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR500001500158007300601998
Ağrı,Malazgirt,Malazgirt İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR360001500158007300601959
Ağrı,Malazgirt,Malazgirt İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR130001500158007300601985
Ağrı,Bulanık,Bulanık İcra Dairesi,1880074825,BULANIK MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR950001500158007300602352
Ağrı,Bulanık,Bulanık İcra Dairesi,1880074825,BULANIK MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR740001500158007300602245
Ağrı,Bulanık,Bulanık İcra Dairesi,1880074825,BULANIK MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR640001500158007300602231
Ağrı,Tutak,Tutak İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR750001500158007300685065
Ağrı,Tutak,Tutak İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR770001500158007300685029
Ağrı,Tutak,Tutak İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR130001500158007300685017
Amasya,Amasya,Amasya İcra Dairesi,690742814,AMASYA VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR480001500158007306623115
Amasya,Amasya,Amasya İcra Dairesi,690742814,AMASYA VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR220001500158007306623195
Amasya,Amasya,Amasya İcra Dairesi,690742814,AMASYA VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR720001500158007306623265
Amasya,Gümüşhacıköy,Gümüşhacıköy İcra Dairesi,4250027687,GÜMÜŞHACIKÖY VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR740001500158007300601178
Amasya,Gümüşhacıköy,Gümüşhacıköy İcra Dairesi,4250027687,GÜMÜŞHACIKÖY VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR190001500158007300601101
Amasya,Gümüşhacıköy,Gümüşhacıköy İcra Dairesi,4250027687,GÜMÜŞHACIKÖY VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR970001500158007300601152
Amasya,Merzifon,Merzifon İcra Dairesi,6190077270,MERZİFON VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR380001500158007290500828
Amasya,Merzifon,Merzifon İcra Dairesi,6190077270,MERZİFON VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR820001500158007299243422
Amasya,Merzifon,Merzifon İcra Dairesi,6190077270,MERZİFON VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR830001500158007290500988
Amasya,Suluova,Suluova İcra Dairesi,7820076567,SULUOVA VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR040001500158007300577315
Amasya,Suluova,Suluova İcra Dairesi,7820076567,SULUOVA VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR270001500158007300577289
Amasya,Suluova,Suluova İcra Dairesi,7820076567,SULUOVA VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR830001500158007300577251
Amasya,Taşova,Taşova İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR150001500158007300583422
Amasya,Taşova,Taşova İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR720001500158007300583463
Amasya,Taşova,Taşova İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR390001500158007300583378
Ankara,Ankara,"Ankara 8. Genel İcra Dairesi (1,2,3. İcra Daireleri)",1780009640,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR350001500158007290493025
Ankara,Ankara,"Ankara 8. Genel İcra Dairesi (1,2,3. İcra Daireleri)",1780009640,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR230001500158007296864007
Ankara,Ankara,"Ankara 8. Genel İcra Dairesi (1,2,3. İcra Daireleri)",1780009640,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR960001500158007300563049
Ankara,Ankara,"Ankara 7. Genel İcra Dairesi (4,5,6,7. İcra Daireleri)",3130004546,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR440001500158007290493057
Ankara,Ankara,"Ankara 7. Genel İcra Dairesi (4,5,6,7. İcra Daireleri)",3130004546,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR560001500158007300563090
Ankara,Ankara,"Ankara 7. Genel İcra Dairesi (4,5,6,7. İcra Daireleri)",3130004546,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR420001500158007298776990
Ankara,Ankara,"Ankara 6. Genel İcra Dairesi (8,9,10,11. İcra Daireleri)",7590007821,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR430001500158007290493075
Ankara,Ankara,"Ankara 6. Genel İcra Dairesi (8,9,10,11. İcra Daireleri)",7590007821,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR880001500158007296864195
Ankara,Ankara,"Ankara 6. Genel İcra Dairesi (8,9,10,11. İcra Daireleri)",7590007821,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR080001500158007300563178
Ankara,Ankara,"Ankara 5. Genel İcra Dairesi (12,13,14,15. İcra Daireleri)",6430024257,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR730001500158007296864271
Ankara,Ankara,"Ankara 5. Genel İcra Dairesi (12,13,14,15. İcra Daireleri)",6430024257,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR290001500158007300563188
Ankara,Ankara,"Ankara 5. Genel İcra Dairesi (12,13,14,15. İcra Daireleri)",6430024257,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR100001500158007290493087
Ankara,Ankara,"Ankara 4. Genel İcra Dairesi (16,17,18,19. İcra Daireleri)",6420023099,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR160001500158007296864036
Ankara,Ankara,"Ankara 4. Genel İcra Dairesi (16,17,18,19. İcra Daireleri)",6420023099,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR180001500158007300563483
Ankara,Ankara,"Ankara 4. Genel İcra Dairesi (16,17,18,19. İcra Daireleri)",6420023099,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR850001500158007290493095
Ankara,Ankara,"Ankara 3. Genel İcra Dairesi (20,22,23,24. İcra Daireleri)",9810010636,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR830001500158007296863994
Ankara,Ankara,"Ankara 3. Genel İcra Dairesi (20,22,23,24. İcra Daireleri)",9810010636,Maltepe Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR740001500158007300565191
Ankara,Ankara,"Ankara 3. Genel İcra Dairesi (20,22,23,24. İcra Daireleri)",9810010636,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR900001500158007290493102
Ankara,Ankara,Ankara İflas Dairesi,4700021559,MALTEPE VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR790001500158007296864066
Ankara,Ankara,Ankara İflas Dairesi,4700021559,MALTEPE VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR630001500158007290493103
Ankara,Ankara,Ankara İflas Dairesi,4700021559,MALTEPE VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR240001500158007300565218
Ankara,Ankara,"Ankara 1. Genel İcra Dairesi (29,30,31,32. İcra Daireleri)",9810010757,MALTEPE VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR020001500158007300566099
Ankara,Ankara,"Ankara 2. Genel İcra Dairesi (25,26,27,28. İcra Daireleri)",9810009301,MALTEPE VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR100001500158007300565567
Ankara,Ankara,"Ankara 2. Genel İcra Dairesi (25,26,27,28. İcra Daireleri)",9810009301,MALTEPE VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR150001500158007296864054
Ankara,Ankara,"Ankara 2. Genel İcra Dairesi (25,26,27,28. İcra Daireleri)",9810009301,MALTEPE VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR250001500158007290493108
Ankara,Ankara,"Ankara 1. Genel İcra Dairesi (29,30,31,32. İcra Daireleri)",9810007605,Maltepe Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR140001500158007290493112
Ankara,Ankara,"Ankara 1. Genel İcra Dairesi (29,30,31,32. İcra Daireleri)",9810007605,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR080001500158007296864180
Ankara,Ankara,Ankara Abonelik Sözleşmeleri İcra Dairesi,6490695402,Maltepe Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR060001500158007306482930
