il,ilce,mahalle,posta_kodu
Adana,Ceyhan,Isırganlı Mahallesi,01922
Adana,Ceyhan,Istiklal Mahallesi,01960
Adana,Ceyhan,Kaltakiye Mahallesi,01960
Adana,Ceyhan,Karakayalı Mahallesi,01922
Adana,Ceyhan,Kelemeti Mahallesi,01960
Adana,Ceyhan,Kılıçkaya Mahallesi,01922
Adana,Ceyhan,Kıvrıklı Mahallesi,01922
Adana,Ceyhan,Kızıldere Mahallesi,01922
Adana,Ceyhan,Konakoğlu Mahallesi,01960
Adana,Ceyhan,Koruklu Mahallesi,01920
Adana,Ceyhan,Köprülü Mahallesi,01922
Adana,Ceyhan,Körkuyu Mahallesi,01922
Adana,Ceyhan,Kösreli Mahallesi,01923
Adana,Ceyhan,Kurtkulağı Mahallesi,01922
Adana,Ceyhan,Kurtpınar Mahallesi,01922
Adana,Ceyhan,Kuzucak Mahallesi,01922
Adana,Ceyhan,Küçükburhaniye Mahallesi,01922
Adana,Ceyhan,Küçükkırım Mahallesi,01920
Adana,Ceyhan,Küçükmangıt Mahallesi,01922
Adana,Ceyhan,Mercimek Mahallesi,01922
Adana,Ceyhan,Mercin Mahallesi,01922
Adana,Ceyhan,Mithat Paşa Mahallesi,01940
Adana,Ceyhan,Modernevler Mahallesi,01960
Adana,Ceyhan,Muradiye Mahallesi,01960
Adana,Ceyhan,Mustafabeyli Mahallesi,01924
Adana,Ceyhan,Namık Kemal Mahallesi,01950
Adana,Ceyhan,Narlık Mahallesi,01922
Adana,Ceyhan,Sağırlar Mahallesi,01922
Adana,Ceyhan,Sağkaya Mahallesi,01922
Adana,Ceyhan,Sarıbahçe Mahallesi,01922
Adana,Ceyhan,Sarımazı Mahallesi,01922
Adana,Ceyhan,Sarımazı Sb Mahallesi,01922
Adana,Ceyhan,Sarısakal Mahallesi,01960
Adana,Ceyhan,Selimiye Mahallesi,01922
Adana,Ceyhan,Sirkeli Mahallesi,01922
Adana,Ceyhan,Soğukpınar Mahallesi,01922
Adana,Ceyhan,Soysallı Mahallesi,01922
Adana,Ceyhan,Şahin Özbilen Mahallesi,01940
Adana,Ceyhan,Şehit Hacı Ibrahim Mahallesi,01920
Adana,Ceyhan,Tatarlı Mahallesi,01922
Adana,Ceyhan,Tatlıkuyu Mahallesi,01922
Adana,Ceyhan,Toktamış Mahallesi,01922
Adana,Ceyhan,Tumlu Mahallesi,01922
Adana,Ceyhan,Türlübaş Mahallesi,01960
Adana,Ceyhan,Ulus Mahallesi,01940
Adana,Ceyhan,Üçdutyeşilova Mahallesi,01922
Adana,Ceyhan,Yalak Mahallesi,01922
Adana,Ceyhan,Yarsuat Mahallesi,01920
Adana,Ceyhan,Yellibel Mahallesi,01922
Adana,Ceyhan,Yeniköynazımbey Mahallesi,01922
Adana,Ceyhan,Yeşilbahçe Mahallesi,01922
Adana,Ceyhan,Yeşildam Mahallesi,01922
Adana,Ceyhan,Yılankale Mahallesi,01922
Adana,Çukurova,Belediye Evleri Mahallesi,01360
Adana,Çukurova,Beyazevler Mahallesi,01170
Adana,Çukurova,Bozcalar Mahallesi,01170
Adana,Çukurova,Dörtler Mahallesi,01170
Adana,Çukurova,Esentepe Mahallesi,01170
Adana,Çukurova,Fadıl Mahallesi,01170
Adana,Çukurova,Gökkuyu Mahallesi,01170
Adana,Çukurova,Güzelyalı Mahallesi,01170
Adana,Çukurova,Huzurevleri Mahallesi,01360
Adana,Çukurova,Kabasakal Mahallesi,01170
Adana,Çukurova,Karahan Mahallesi,01170
Adana,Çukurova,Karslılar Mahallesi,01170
Adana,Çukurova,Kaşoba Mahallesi,01170
Adana,Çukurova,Kocatepe Mahallesi,01170
Adana,Çukurova,Kurttepe Mahallesi,01170
Adana,Çukurova,Küçükçınar Mahallesi,01170
Adana,Çukurova,Mahfesığmaz Mahallesi,01170
Adana,Çukurova,Memişli Mahallesi,01170
Adana,Çukurova,Örcün Mahallesi,01170
Adana,Çukurova,Pirili Mahallesi,01170
Adana,Çukurova,Salbaş Esentepe Mahallesi,01780
Adana,Çukurova,Söğütlü Mahallesi,01170
Adana,Çukurova,Şambayadı Mahallesi,01170
Adana,Çukurova,Toros Mahallesi,01170
Adana,Çukurova,Yeni Mahallesi,01170
Adana,Çukurova,Yurt Mahallesi,01170
Adana,Çukurova,Yüzüncüyıl Mahallesi,01360
Adana,Feke,Akkaya Mahallesi,01662
Adana,Feke,Akoluk Mahallesi,01662
Adana,Feke,Bağdatlı Mahallesi,01662
Adana,Feke,Bahçecik Mahallesi,01662
Adana,Feke,Belenköy Mahallesi,01660
Adana,Feke,Çandırlar Mahallesi,01662
Adana,Feke,Çondu Mahallesi,01662
Adana,Feke,Çürükler Mahallesi,01662
Adana,Feke,Değirmenciuşağı Mahallesi,01662
Adana,Feke,Gaffaruşağı Mahallesi,01662
Adana,Feke,Gedikli Mahallesi,01662
Adana,Feke,Göbelli Mahallesi,01662
Adana,Feke,Gökçeli Mahallesi,01660
Adana,Feke,Gürümze Mahallesi,01662
Adana,Feke,Güzpınarı Mahallesi,01662
Adana,Feke,Hıdıruşağı Mahallesi,01662
Adana,Feke,Incirci Mahallesi,01662
Adana,Feke,Islam Mahallesi,01660
Adana,Feke,Kaleyüzü Mahallesi,01662
Adana,Feke,Karacaoğlan Mahallesi,01660
Adana,Feke,Karacauşağı Mahallesi,01660
Adana,Feke,Kaşaltı Mahallesi,01662
Adana,Feke,Kayadibi Mahallesi,01662
Adana,Feke,Kazancı Mahallesi,01660
Adana,Feke,Keklikçi Mahallesi,01660
Adana,Feke,Kırıkuşağı Mahallesi,01662
Adana,Feke,Kısacıklı Mahallesi,01662
Adana,Feke,Kızılyer Mahallesi,01662
Adana,Feke,Koçyazı Mahallesi,01662
Adana,Feke,Konakkuran Mahallesi,01662
Adana,Feke,Kovukçınar Mahallesi,01662
Adana,Feke,Mansurlu Mahallesi,01662
Adana,Feke,Musalar Mahallesi,01662
Adana,Feke,Olucak Mahallesi,01662
Adana,Feke,Ormancık Mahallesi,01662
Adana,Feke,Ortaköy Mahallesi,01662
Adana,Feke,Oruçlu Mahallesi,01662
Adana,Feke,Paşalı Mahallesi,01662
Adana,Feke,Sülemişli Mahallesi,01660
Adana,Feke,Süphandere Mahallesi,01662
Adana,Feke,Şahmuratlı Mahallesi,01662
Adana,Feke,Tenkerli Mahallesi,01662
Adana,Feke,Tokmanaklı Mahallesi,01662
Adana,Feke,Tortulu Mahallesi,01662
Adana,Feke,Uğurlubağ Mahallesi,01662
Adana,Feke,Yaylapınar Mahallesi,01662
Adana,Feke,Yerebakan Mahallesi,01662
Adana,Feke,Yeşil Düşmüş Mahallesi,01660
Adana,Imamoğlu,Adalet Mahallesi,01700
Adana,Imamoğlu,Ağzıkaraca Mahallesi,01702
Adana,Imamoğlu,Alaybeyi Mahallesi,01702
Adana,Imamoğlu,Aliler Mahallesi,01702
Adana,Imamoğlu,Ayvalı Mahallesi,01702
Adana,Imamoğlu,Camili Mahallesi,01702
Adana,Imamoğlu,Cumhuriyet Mahallesi,01700
Adana,Imamoğlu,Çörten Mahallesi,01702
Adana,Imamoğlu,Danacılı Mahallesi,01702
Adana,Imamoğlu,Fatih Mahallesi,01700
Adana,Imamoğlu,Hacıhasanlı Mahallesi,01702
Adana,Imamoğlu,Hürriyet Mahallesi,01700
Adana,Imamoğlu,Koyunevi Mahallesi,01702
Adana,Imamoğlu,Malıhıdırlı Mahallesi,01702
Adana,Imamoğlu,Menteş Mahallesi,01700
Adana,Imamoğlu,Otluk Mahallesi,01702
Adana,Imamoğlu,Pekmezci Mahallesi,01702
Adana,Imamoğlu,Sayca Mahallesi,01702
Adana,Imamoğlu,Saygeçit Mahallesi,01702
Adana,Imamoğlu,Sevinçli Mahallesi,01702
Adana,Imamoğlu,Sokutaş Mahallesi,01702
Adana,Imamoğlu,Tuna Mahallesi,01700
Adana,Imamoğlu,Ufacıkören Mahallesi,01702
Adana,Imamoğlu,Uluçınar Mahallesi,01702
Adana,Imamoğlu,Üçtepe Mahallesi,01702
Adana,Imamoğlu,Yazıtepe Mahallesi,01702
Adana,Imamoğlu,Yenievler Mahallesi,01702
Adana,Karaisalı,Akçalı Mahallesi,01770
Adana,Karaisalı,Aktaş Mahallesi,01770
Adana,Karaisalı,Altınova Mahallesi,01770
Adana,Karaisalı,Aşağıbelemedik Mahallesi,01770
Adana,Karaisalı,Aşağıyörükler Mahallesi,01770
Adana,Karaisalı,Ayakkıf Mahallesi,01770
Adana,Karaisalı,Barakdağı Mahallesi,01770
Adana,Karaisalı,Başkıf Mahallesi,01770
Adana,Karaisalı,Bekirli Mahallesi,01770
Adana,Karaisalı,Beydemir Mahallesi,01770
Adana,Karaisalı,Bolacalı Mahallesi,01770
Adana,Karaisalı,Bucak Mahallesi,01770
Adana,Karaisalı,Çakallı Mahallesi,01770
Adana,Karaisalı,Çatalan Mahallesi,01770
Adana,Karaisalı,Çeceli Mahallesi,01770
Adana,Karaisalı,Çevlik Mahallesi,01770
Adana,Karaisalı,Çocuklar Mahallesi,01770
Adana,Karaisalı,Çorlu Mahallesi,01770
Adana,Karaisalı,Çukur Mahallesi,01770
Adana,Karaisalı,Demirçit Mahallesi,01770
Adana,Karaisalı,Döşekevi Mahallesi,01770
Adana,Karaisalı,Durak Mahallesi,01770
Adana,Karaisalı,Eğlence Mahallesi,01770
Adana,Karaisalı,Emelcik Mahallesi,01770
Adana,Karaisalı,Etekli Mahallesi,01770
Adana,Karaisalı,Fettahlı Mahallesi,01770
Adana,Karaisalı,Filikli Mahallesi,01770
Adana,Karaisalı,Gildirli Mahallesi,01770
Adana,Karaisalı,Gökhasanlı Mahallesi,01770
Adana,Karaisalı,Gülüşlü Mahallesi,01770
Adana,Karaisalı,Güvenç Mahallesi,01770
Adana,Karaisalı,Hacılı Mahallesi,01770
Adana,Karaisalı,Hacımusalı Mahallesi,01770
Adana,Karaisalı,Kaledağı Mahallesi,01770
Adana,Karaisalı,Kapıkaya Mahallesi,01770
Adana,Karaisalı,Karahasanlı Mahallesi,01770
Adana,Karaisalı,Karakılıç Mahallesi,01770
Adana,Karaisalı,Karakuyu Mahallesi,01770
Adana,Karaisalı,Karapınar Mahallesi,01770
Adana,Karaisalı,Kıralan Mahallesi,01770
Adana,Karaisalı,Kırıklı Mahallesi,01770
Adana,Karaisalı,Kocaveliler Mahallesi,01770
Adana,Karaisalı,Körüklü Mahallesi,01770
Adana,Karaisalı,Kuşcusofulu Mahallesi,01770
Adana,Karaisalı,Kuyucu Mahallesi,01770
Adana,Karaisalı,Kuzgun Mahallesi,01770
Adana,Karaisalı,Maraşlı Mahallesi,01770
Adana,Karaisalı,Merkezboztahta Mahallesi,01770
Adana,Karaisalı,Murtçukuru Mahallesi,01770
Adana,Karaisalı,Nergizlik Mahallesi,01770
Adana,Karaisalı,Nuhlu Mahallesi,01770
Adana,Karaisalı,Ömerli Mahallesi,01770
Adana,Karaisalı,Sadıkali Mahallesi,01770
Adana,Karaisalı,Sarımehmetli Mahallesi,01770
Adana,Karaisalı,Saypınar Mahallesi,01770
Adana,Karaisalı,Selampınar Mahallesi,01770
Adana,Karaisalı,Tatık Mahallesi,01770
Adana,Karaisalı,Topaktaş Mahallesi,01770
Adana,Karaisalı,Topkaralı Mahallesi,01770
Adana,Karaisalı,Torunsolaklı Mahallesi,01770
Adana,Karaisalı,Tümenli Mahallesi,01770
Adana,Karaisalı,Yazıbaşı Mahallesi,01770
Adana,Karataş,Adalı Mahallesi,01900
Adana,Karataş,Ataköy Mahallesi,01900
Adana,Karataş,Bahçe Mahallesi,01900
Adana,Karataş,Bebeli Mahallesi,01900
Adana,Karataş,Çağşırlı Mahallesi,01900
Adana,Karataş,Çakırören Mahallesi,01900
Adana,Karataş,Çavuşlu Mahallesi,01900
Adana,Karataş,Çimeli Mahallesi,01900
Adana,Karataş,Çukurkamış Mahallesi,01900
Adana,Karataş,Damlapınar Mahallesi,01900
Adana,Karataş,Develiören Mahallesi,01900
Adana,Karataş,Dolaplı Mahallesi,01900
Adana,Karataş,Gölkaya Mahallesi,01900
Adana,Karataş,Hacıhasan Mahallesi,01900
Adana,Karataş,Hasırağacı Mahallesi,01900
Adana,Karataş,Helvacı Mahallesi,01900
Adana,Karataş,Inneplihüyüğü Mahallesi,01900
Adana,Karataş,Isahacılı Mahallesi,01900
Adana,Karataş,Kapı Mahallesi,01900
Adana,Karataş,Karagöçer Mahallesi,01900
Adana,Karataş,Karataş Mahallesi,01900
Adana,Karataş,Karşıyaka Mahallesi,01900
Adana,Karataş,Kemaliye Mahallesi,01900
Adana,Karataş,Kesik Mahallesi,01900
Adana,Karataş,Kırhasan Mahallesi,01900
Adana,Karataş,Kızıltahta Mahallesi,01900
Adana,Karataş,Kiremitli Mahallesi,01900
Adana,Karataş,Meletmez Mahallesi,01900
Adana,Karataş,Orta Mahallesi,01900
Adana,Karataş,Oymaklı Mahallesi,01900
Adana,Karataş,Sarımsak Mahallesi,01900
Adana,Karataş,Sirkenli Mahallesi,01900
Adana,Karataş,Tabaklar Mahallesi,01900
Adana,Karataş,Tabur Mahallesi,01900
Adana,Karataş,Terliksiz Mahallesi,01900
Adana,Karataş,Topraklı Mahallesi,01900
Adana,Karataş,Tuzkuyusu Mahallesi,01900
Adana,Karataş,Tuzla Mahallesi,01900
Adana,Karataş,Yassıveren Mahallesi,01900
Adana,Karataş,Yemişli Mahallesi,01900
Adana,Karataş,Yeni Mahallesi,01900
Adana,Karataş,Yenimurat Mahallesi,01900
Adana,Karataş,Yüzbaşı Mahallesi,01900
Adana,Kozan,Acarmantaş Mahallesi,01502
Adana,Kozan,Ağlıboğaz Mahallesi,01500
Adana,Kozan,Akarca Mahallesi,01502
Adana,Kozan,Akçalıuşağı Mahallesi,01502
Adana,Kozan,Akdam Mahallesi,01502
Adana,Kozan,Akkaya Mahallesi,01502
Adana,Kozan,Alapınar Mahallesi,01502
Adana,Kozan,Andıl Mahallesi,01502
Adana,Kozan,Arslanlı Mahallesi,01502
Adana,Kozan,Arslanpaşa Mahallesi,01500
Adana,Kozan,Aydın Mahallesi,01502
Adana,Kozan,Ayşehoca Mahallesi,01502
Adana,Kozan,Bağlar Mahallesi,01500
Adana,Kozan,Bağözü Mahallesi,01502
Adana,Kozan,Bağtepe Mahallesi,01502
Adana,Kozan,Boztahta Mahallesi,01502
Adana,Kozan,Bucak Mahallesi,01502
Adana,Kozan,Bulduklu Mahallesi,01502
Adana,Kozan,Cumhuriyet Mahallesi,01500
Adana,Kozan,Çamdere Mahallesi,01502
Adana,Kozan,Çamlarca Mahallesi,01502
Adana,Kozan,Çanaklı Mahallesi,01500
Adana,Kozan,Çandık Mahallesi,01502
Adana,Kozan,Çelenuşağı Mahallesi,01502
Adana,Kozan,Çobanpınarı Mahallesi,01502
Adana,Kozan,Çokak Mahallesi,01502
Adana,Kozan,Çukurören Mahallesi,01502
Adana,Kozan,Çulluuşağı Mahallesi,01502
Adana,Kozan,Çürüklü Mahallesi,01502
Adana,Kozan,Damyeri Mahallesi,01502
Adana,Kozan,Dikilitaş Mahallesi,01502
Adana,Kozan,Dilekkaya Mahallesi,01502
Adana,Kozan,Doğanalanı Mahallesi,01502
Adana,Kozan,Duraluşağı Mahallesi,01502
Adana,Kozan,Durmuşlu Mahallesi,01502
Adana,Kozan,Düzağaç Mahallesi,01502
Adana,Kozan,Enizçakırı Mahallesi,01502
Adana,Kozan,Ergenuşağı Mahallesi,01502
Adana,Kozan,Eskikabasakal Mahallesi,01502
Adana,Kozan,Eskimantaş Mahallesi,01502
Adana,Kozan,Faydalı Mahallesi,01502
Adana,Kozan,Ferhatlı Mahallesi,01502
Adana,Kozan,Gazi Mahallesi,01555
Adana,Kozan,Gedikli Mahallesi,01502
Adana,Kozan,Gökçeyol Mahallesi,01502
Adana,Kozan,Gökgöz Mahallesi,01502
Adana,Kozan,Görbeyaz Mahallesi,01502
Adana,Kozan,Güneri Mahallesi,01502
Adana,Kozan,Hacıbeyli Mahallesi,01555
Adana,Kozan,Hacımirzalı Mahallesi,01502
Adana,Kozan,Hacıuşağı Mahallesi,01500
Adana,Kozan,Hamam Mahallesi,01502
Adana,Kozan,Idemköy Mahallesi,01502
Adana,Kozan,Ilıca Mahallesi,01502
Adana,Kozan,Işıkkaya Mahallesi,01502
Adana,Kozan,Işıklı Mahallesi,01502
Adana,Kozan,Kabaktepe Mahallesi,01502
Adana,Kozan,Kahveli Mahallesi,01502
Adana,Kozan,Kalkumaç Mahallesi,01502
Adana,Kozan,Kapıkaya Mahallesi,01502
Adana,Kozan,Karabucak Mahallesi,01502
Adana,Kozan,Karacaoğlan Mahallesi,01500
Adana,Kozan,Karacaören Mahallesi,01502
Adana,Kozan,Karahamzalı Mahallesi,01502
Adana,Kozan,Karanebili Mahallesi,01502
Adana,Kozan,Kemerköy Mahallesi,01502
Adana,Kozan,Kıbrıslar Mahallesi,01502
Adana,Kozan,Kızıllar Mahallesi,01502
Adana,Kozan,Kızlarsekisi Mahallesi,01502
Adana,Kozan,Köseli Mahallesi,01502
Adana,Kozan,Kuytucak Mahallesi,01502
Adana,Kozan,Kuyubeli Mahallesi,01502
Adana,Kozan,Kuyuluk Mahallesi,01502
Adana,Kozan,Mahmutlu Mahallesi,01500
Adana,Kozan,Mahyalar Mahallesi,01502
Adana,Kozan,Marankeçili Mahallesi,01502
Adana,Kozan,Minnetli Mahallesi,01502
Adana,Kozan,Orçan Mahallesi,01502
Adana,Kozan,Oruçlu Mahallesi,01502
Adana,Kozan,Örendere Mahallesi,01502
Adana,Kozan,Özbaşı Mahallesi,01502
Adana,Kozan,Pekmezci Mahallesi,01502
Adana,Kozan,Postkabasakal Mahallesi,01502
Adana,Kozan,Salmanlı Mahallesi,01502
Adana,Kozan,Şerifli Mahallesi,01502
Adana,Kozan,Şevkiye Mahallesi,01500
Adana,Kozan,Taş Mahallesi,01500
Adana,Kozan,Tavşantepe Mahallesi,01500
Adana,Kozan,Tepecikören Mahallesi,01502
Adana,Kozan,Tufanlı Mahallesi,01502
Adana,Kozan,Tufanpaşa Mahallesi,01500
Adana,Kozan,Turgutlu Mahallesi,01502
Adana,Kozan,Turunçlu Mahallesi,01502
Adana,Kozan,Türkeli Mahallesi,01500
Adana,Kozan,Varsaklar Mahallesi,01500
Adana,Kozan,Velicanlı Mahallesi,01502
Adana,Kozan,Yanalerik Mahallesi,01502
Adana,Kozan,Yarımoğlu Mahallesi,01500
Adana,Kozan,Yassıçalı Mahallesi,01502
Adana,Kozan,Yeniköy Mahallesi,01502
Adana,Kozan,Yukarıkeçili Mahallesi,01502
Adana,Kozan,Yüksekören Mahallesi,01502
Adana,Kozan,Zerdali Mahallesi,01502
Adana,Pozantı,Akçatekir Mahallesi,01490
Adana,Pozantı,Alpu Mahallesi,01472
Adana,Pozantı,Aşçıbekirli Mahallesi,01472
Adana,Pozantı,Belemedik Mahallesi,01472
Adana,Pozantı,Cumhuriyet Mahallesi,01470
Adana,Pozantı,Çamlıbel Mahallesi,01472
Adana,Pozantı,Dağdibi Mahallesi,01472
Adana,Pozantı,Eskikonacık Mahallesi,01472
Adana,Pozantı,Fındıklı Mahallesi,01472
Adana,Pozantı,Gökbez Mahallesi,01472
Adana,Pozantı,Hamidiye Mahallesi,01472
Adana,Pozantı,Istiklal Mahallesi,01470
Adana,Pozantı,Kamışlı Mahallesi,01472
Adana,Pozantı,Karakışlakçı Mahallesi,01472
Adana,Pozantı,Kurtuluş Mahallesi,01470
Adana,Pozantı,Ömerli Mahallesi,01472
Adana,Pozantı,Yağlıtaş Mahallesi,01472
Adana,Pozantı,Yazıcak Mahallesi,01472
Adana,Pozantı,Yenikonacık Mahallesi,01472
Adana,Pozantı,Yukarıbelemedik Mahallesi,01472
Adana,Pozantı,Zafer Mahallesi,01470
Adana,Saimbeyli,Aksaağaç Mahallesi,01740
Adana,Saimbeyli,Avcıpınarı Mahallesi,01740
Adana,Saimbeyli,Ayvacık Mahallesi,01740
Adana,Saimbeyli,Beypınarı Mahallesi,01740
Adana,Saimbeyli,Cıvıklı Mahallesi,01740
Adana,Saimbeyli,Cumhurlu Mahallesi,01740
Adana,Saimbeyli,Çatak Mahallesi,01740
Adana,Saimbeyli,Çeralan Mahallesi,01740
Adana,Saimbeyli,Çorak Mahallesi,01740
Adana,Saimbeyli,Değirmenciuşağı Mahallesi,01740
Adana,Saimbeyli,Eyüplü Mahallesi,01740
Adana,Saimbeyli,Fatih Mahallesi,01740
Adana,Saimbeyli,Gökmenler Mahallesi,01740
Adana,Saimbeyli,Gürleşen Mahallesi,01740
Adana,Saimbeyli,Halilbeyli Mahallesi,01740
Adana,Saimbeyli,Himmetli Mahallesi,01740
Adana,Saimbeyli,Islam Mahallesi,01740
Adana,Saimbeyli,Kandilli Mahallesi,01740
Adana,Saimbeyli,Kapaklıkuyu Mahallesi,01740
Adana,Saimbeyli,Karakuyu Mahallesi,01740
Adana,Saimbeyli,Kızılağaç Mahallesi,01740
Adana,Saimbeyli,Mahmutlu Mahallesi,01740
Adana,Saimbeyli,Naltaş Mahallesi,01740
Adana,Saimbeyli,Topallar Mahallesi,01740
Adana,Saimbeyli,Tülü Mahallesi,01740
Adana,Saimbeyli,Yardibi Mahallesi,01740
Adana,Saimbeyli,Yeniköy Mahallesi,01740
Adana,Saimbeyli,Yeşilbağlar Mahallesi,01740
Adana,Sarıçam,Acıdere Mahallesi,01790
Adana,Sarıçam,Acıdereosb Mahallesi,01410
Adana,Sarıçam,Aflak Mahallesi,01790
Adana,Sarıçam,Akkuyu Mahallesi,01790
Adana,Sarıçam,Avcılar Mahallesi,01790
Adana,Sarıçam,Aydınyurdu Mahallesi,01790
Adana,Sarıçam,Ayvalı Mahallesi,01790
Adana,Sarıçam,Balcalı Mahallesi,01250
Adana,Sarıçam,Bayram Hacılı Mahallesi,01790
Adana,Sarıçam,Beyceli Mahallesi,01460
Adana,Sarıçam,Boynuyoğun Mahallesi,01790
Adana,Sarıçam,Boztepe Mahallesi,01790
Adana,Sarıçam,Buruk Cumhuriyet Mahallesi,01460
Adana,Sarıçam,Büyük Baklalı Mahallesi,01790
Adana,Sarıçam,Cerenli Mahallesi,01790
Adana,Sarıçam,Cihadiye Mahallesi,01790
Adana,Sarıçam,Çamlıca Mahallesi,01790
Adana,Sarıçam,Çarkıpare Mahallesi,01790
Adana,Sarıçam,Çaylı Mahallesi,01790
Adana,Sarıçam,Çınarlı Mahallesi,01790
Adana,Sarıçam,Çiçekli Mahallesi,01790
Adana,Sarıçam,Çirişgediği Mahallesi,01790
Adana,Sarıçam,Dağcı Mahallesi,01790
Adana,Sarıçam,Dutluca Mahallesi,01790
Adana,Sarıçam,Eğeciuşağı Mahallesi,01790
Adana,Sarıçam,Esentepe Mahallesi,01250
Adana,Sarıçam,Gökbuket Mahallesi,01790
Adana,Sarıçam,Göztepe Mahallesi,01790
Adana,Sarıçam,Gültepe Mahallesi,01250
